by 医工学习日志 v2.3.5 2024-10-14
央视频道,#genre#
CCTV16,http://219.139.62.21:60001/udp/239.69.1.247:11124
CCTV4K,http://www.iworknet.cn:8888/udp/239.69.1.12:9712
CCTV4K,http://221.232.101.62:4000/udp/239.69.1.12:9712
CCTV4K,http://219.139.62.21:60001/udp/239.69.1.12:9712
CCTV4K,http://171.114.230.99:4000/udp/239.69.1.12:9712
CCTV4K,http://iworknet.cn:8888/udp/239.69.1.12:9712
CCTV4K,http://116.207.108.62:4000/udp/239.69.1.12:9712
CETV1,http://www.iworknet.cn:8888/udp/239.69.1.110:10298
CETV1,http://116.207.108.62:4000/udp/239.69.1.110:10298
CETV1,http://221.232.101.62:4000/udp/239.69.1.110:10298
CETV1,http://171.114.230.99:4000/udp/239.69.1.110:10298
CETV1,http://219.139.62.21:60001/udp/239.69.1.110:10298
CETV1,http://iworknet.cn:8888/udp/239.69.1.110:10298
中数传媒,#genre#
CHC影迷电影,http://221.232.101.62:4000/udp/239.69.1.241:11088
CHC影迷电影,http://www.iworknet.cn:8888/udp/239.69.1.241:11088
CHC影迷电影,http://116.207.108.62:4000/udp/239.69.1.241:11088
CHC影迷电影,http://219.139.62.21:60001/udp/239.69.1.241:11088
CHC影迷电影,http://171.114.230.99:4000/udp/239.69.1.241:11088
CHC影迷电影,http://iworknet.cn:8888/udp/239.69.1.241:11088
CHC家庭影院,http://116.207.108.62:4000/udp/239.69.1.243:11100
CHC家庭影院,http://www.iworknet.cn:8888/udp/239.69.1.243:11100
CHC家庭影院,http://219.139.62.21:60001/udp/239.69.1.243:11100
CHC家庭影院,http://221.232.101.62:4000/udp/239.69.1.243:11100
CHC家庭影院,http://iworknet.cn:8888/udp/239.69.1.243:11100
CHC家庭影院,http://171.114.230.99:4000/udp/239.69.1.243:11100
CHC动作电影,http://iworknet.cn:8888/udp/239.69.1.242:11094
CHC动作电影,http://171.114.230.99:4000/udp/239.69.1.242:11094
CHC动作电影,http://219.139.62.21:60001/udp/239.69.1.242:11094
CHC动作电影,http://221.232.101.62:4000/udp/239.69.1.242:11094
CHC动作电影,http://www.iworknet.cn:8888/udp/239.69.1.242:11094
CHC动作电影,http://116.207.108.62:4000/udp/239.69.1.242:11094
CCTV央视台球,http://171.114.230.99:4000/udp/239.69.1.98:10224
CCTV央视台球,http://www.iworknet.cn:8888/udp/239.69.1.98:10224
CCTV央视台球,http://221.232.101.62:4000/udp/239.69.1.98:10224
CCTV央视台球,http://219.139.62.21:60001/udp/239.69.1.98:10224
CCTV央视台球,http://iworknet.cn:8888/udp/239.69.1.98:10224
